ftype,bid,bname,city
Italian,GQfhHEq4R_0lJ8_4sorGxQ,"Marco's Pizza","Las Vegas"
"Comfort Food",gQfIjE7ZCywQyXXvhZKiMw,"Tarterie Rockaberry",Dollard-Des-Ormeaux
"Comfort Food",gqgAKOQaBU_xDRSjrWMCTQ,"Deno's Pizza",Surprise
"Comfort Food",gQi7dsO7ujVCy02E-Ku1mA,"Jack Astor's Bar & Grill",Dorval
"American and British",gQjTs4BDNYSu9oJhkEsssw,"Lone Star Steakhouse",Phoenix
"Southeast Asian",GQloL8yRHymE0SGZq-B0zQ,"My Ngoc Restaurant",Pittsburgh
"Japanese and Korean",gqLWBFxOKag8dXwVxEvTrg,"Sakana Sushi & Grill",Glendale
Halal,GqLWrIz7OYzRcPXi1fJRoA,"Sofram Contemporary Turkish Cuisine",Charlotte
Chinese,GQoipuiAzh9bWuvijIODgg,"Noodles & Company",Charlotte
"Southeast Asian",GQOUcI_eUFjuczwwT7okOA,"Thai Thai","Paradise Valley"
"Comfort Food",GqtMJxq5-7Xp1ZXXmahLaA,"Sacks Art of Sandwicherie",Phoenix
"Comfort Food",GquupzbBLm4gj65WPrc8yQ,"Chez Gerard",Laval
"American and British",GQW0uzms1jN-L_gBG6zi4g,"Monte's Grill & Pub",Verona
"Comfort Food",GQW0uzms1jN-L_gBG6zi4g,"Monte's Grill & Pub",Verona
French,gQZS8WjhRErASI8hcj-xHw,"Bistro Moderne",Edinburgh
Chinese,gq_lS6RXen3z_SesgIrgXA,"South China BBQ Hong Kong Style",Phoenix
"Comfort Food",GRF1UUkskqwBB0tOPi563A,McDonald's,Henderson
"American and British",GRFunGSUZxXqNCZJrN8Oow,Ncounter,Tempe
"Comfort Food",GrhM34dlbFI5ZAUFQDqKDg,"Taco Bell","Las Vegas"
"American and British",grjeZhCQt_C72ZTPQtD4gA,"Ogden's Hops and Harvest","Las Vegas"
"Comfort Food",grk9RANQRR-IZouPFP3kgA,"La Tortotota",Phoenix
"Comfort Food",grKO-AmJulPUuSxQuplYEw,"Carl's Jr",Phoenix
"Japanese and Korean",grpKIY7PepztAJ4w_RLVNw,"Seoul Oak","Spring Valley"
"Japanese and Korean",gRt4zXBVY_Z-bieKA5lq_g,"Kabuki Japanese Restaurant",Glendale
Chinese,gRTbQIOGdBgBFFcF1_8Uhg,"World Buffet",Monona
"Japanese and Korean",grTFv0AWA2yD1ebaRVY2Qg,"Sushi Circle",Karlsruhe
Chinese,GrUh2Jo6sL3wllrtZY4zmg,"Eastern Buffet",Phoenix
"American and British",GrVYU7eSBrjruL_ScqI28w,"Beef 'O' Brady's",Surprise
Spanish,GRYp2ybj8RAGgiO-mQchyg,"Taza Flores",Montréal
Italian,Gs31I9A-IeW3bH4PRoD9Gg,"Gio's Cafe",Pittsburgh
"Southeast Asian",GS3qYe4B0wAqM7gTEP5yEQ,"Pho 198",Montréal
"Japanese and Korean",GS9BIDELUnYgAKznlpUirA,"Wayne's Sushi Bar","Las Vegas"
"American and British",gS9PJk6q7LxNKcGi8lcY4A,"Shamrock Bar & Grille",Madison
"Comfort Food",gsb1ZXNd36YwANID3u1M-g,"Papa Jimmy's Pizzeria","Cottage Grove"
Spanish,GsGz_iC8fOjVgJxK2n5WSA,"Escudo Express",Boisbriand
Chinese,GSiHJG8LqTn5ZQAY1r9q9w,"Liang's Hunan Restaurant",Pittsburgh
"Comfort Food",gSJ8rsEkwmDF_L-A84YpmQ,"Capriotti's Sandwich Shop","Las Vegas"
"American and British",GSm5qO1C1l2CE9r_WoGmKA,"Dynamite Grill","Las Vegas"
"Japanese and Korean",GSm5qO1C1l2CE9r_WoGmKA,"Dynamite Grill","Las Vegas"
"Comfort Food",gsQ1ZB3nzUCo93kqougigA,Cheeseburger,"Las Vegas"
"Comfort Food",GSsq_y2PfYBzn51gAG_c7Q,"Croque Famous Sandwiches",Scottsdale
"Comfort Food",gSTHZH478BJIKAx7IKD2sA,"Burger King","Las Vegas"
"American and British",GSxkH_GCTuySl3KHSdroQw,Arby's,"Sun City West"
"Japanese and Korean",Gt76NQ7VGD3ijC_VUTsusg,"Sushi Chef",Montréal
"Comfort Food",gtai_-E-WUGr_8tYYik59A,Filibertos,"Queen Creek"
"American and British",GTAOZFZqZmis3TuM9H_t1w,"43 North",Madison
Spanish,GTAOZFZqZmis3TuM9H_t1w,"43 North",Madison
Spanish,GTdAV8Q9p4e2ktC2XvqeKA,"Porto Mar",Montréal
"Japanese and Korean",gtdmqiFHAJwGriJSGKBbQQ,"Pumi Oriental Restaurant",Henderson
"Comfort Food",gTGSExiGsfYIpSQVcHeASA,"Taco Bell","Mint Hill"
"Comfort Food",GTIsFcUgj5ieOdj6KpDxbA,"Lupe's Taqueria",Middleton
"Comfort Food",gtlAwb0eZ4rPWjv_42OUCA,McDonald's,"Las Vegas"
"Comfort Food",gTm2TSYkC44iMnI_Nzpm4Q,"Gringo Star Street Bar",Tempe
"Comfort Food",gTn_kgLtX-wsj7TPTq47mA,"Café Santropol",Montréal
"American and British",GtOtjuE1nXCfYlgQgVQGBw,"Modern Proteins","Las Vegas"
Chinese,GToWxpkoCfAjdkTwdm4y2Q,"Cool Ice Taipei Kitchen",Pittsburgh
French,gtvekVSN4BAEY-EoAoon5w,"Henri of Edinburgh",Edinburgh
"American and British",GTVneiUeIyRL8Wa_WmEQ0g,Whataburger,Phoenix
"Comfort Food",GTVneiUeIyRL8Wa_WmEQ0g,Whataburger,Phoenix
"Comfort Food",GTVVfTUW7z66RJvdDdmkHg,"Lucy's Fountainhead Cafe",Tempe
"Comfort Food",gTXSJ9lJOYtpuUqAWDxX2g,"Fiesta Jalisco",Matthews
"Comfort Food",GTzBzNa-rywEeyPhF6Ruvw,"Qdoba Mexican Grill",Madison
"American and British",Gu0L9ZxxCQkQbRvRes2MYw,Denny's,"Las Vegas"
"Comfort Food",Gu1zPvplulUE94w04odUMA,"Hoppin' Jack's",Phoenix
"American and British",GU3GGuECUTbHG8NPHXG9mQ,Searsucker,Scottsdale
"Comfort Food",gu5Yj92bnXnxNyMdxO14VA,"Casa Don Juan  - Downtown","Las Vegas"
French,gu7hgnFVCPcP6s1KmKix9A,"Restaurant Le Poisson Rouge",Montréal
"Comfort Food",GU7LzwoEZrU4ePaIY9T2HA,"Venezia's New York Style Pizzeria",Phoenix
Italian,GU7LzwoEZrU4ePaIY9T2HA,"Venezia's New York Style Pizzeria",Phoenix
"American and British",gu9qDUz44-8H1vdq_MQymQ,"Murray Avenue Grill",Pittsburgh
Italian,GUACaVK0jB-T2AGZO-QcaQ,"La Popessa",Montréal
"American and British",Guai2bH3hNqDP0bPuhT5uQ,"Dirtwater Springs","Apache Junction"
"Comfort Food",gUcBOuYiAYIjybYi8NIcWg,Pinocchio,Montréal
French,guCjJhxjlajTJ0rNhFp98Q,"Bistro Chez Roger",Montréal
"Comfort Food",guD6--j7BIeqcFW_IUFbgw,"America's Taco Shop",Scottsdale
"Comfort Food",GUEfosyg2YR2zwzpQScZBQ,"Bonanno's New York Pizzeria","Las Vegas"
"Southeast Asian",GUffi7bnIY0kG8dHKDLPkg,Ashoka,Edinburgh
"Southeast Asian",gUGh5JpHikDuqK63t1QnfQ,"Chez Pho",Montréal
"American and British",GuI460v9AlhHIqArL32i9Q,"Garden Grille & Bar",Avondale
"Comfort Food",GuI460v9AlhHIqArL32i9Q,"Garden Grille & Bar",Avondale
Italian,GUJTMN365k1iAW9N6ac7UA,"Giorgio Ristorante - Laval",Laval
"Comfort Food",gUk9-MK5q7vzJiV3WZ1mcQ,"Five Guys Burgers and Fries",Dollard-des-Ormeaux
"American and British",guLkdetJ603Bw_A6tuecIg,"The Henry",Phoenix
"Comfort Food",gUlr0bLIbdxN-ZjrRx0KjQ,"Metro Pizza",Pierrefonds
Italian,guOgKiPG7h60bWmHqFBCdg,"Pizzeria Fracesco's","Las Vegas"
"Comfort Food",gUqxCCaYeo2NPnvdD4KSxg,"Fajitas House","Las Vegas"
"Japanese and Korean",gUt-pPUpOVVhaCFC8-E4yQ,"Geisha A Go Go",Scottsdale
"Comfort Food",gUT2SESEp7nV6kDYipHZeA,"Giant Eagle",Pittsburgh
"Comfort Food",GUtNAaTZr5oRdHXx-AwT2w,"Hernandez & Co",Edinburgh
Spanish,GUtNAaTZr5oRdHXx-AwT2w,"Hernandez & Co",Edinburgh
"Japanese and Korean",gutyWep7QbUQ8Qwa-r7p9w,"Ginban Sushi",Phoenix
"Comfort Food",GuZ1oamF-d5f8UqMXVfvug,"Pizza Express",Edinburgh
Italian,GuZ1oamF-d5f8UqMXVfvug,"Pizza Express",Edinburgh
"Comfort Food",gUz5Gdf7biNIhTQwg2V6Gw,"Salt & Lime Modern Mexican Grill",Scottsdale
"Comfort Food",gV2v2jr4IEfYBTNe3TwCrg,"Milano's Pizza","Las Vegas"
"American and British",gV9IOJ2YFSfTvg_IRjyHAg,"East Boulevard Bar & Grill",Charlotte
"Comfort Food",gV9IOJ2YFSfTvg_IRjyHAg,"East Boulevard Bar & Grill",Charlotte
Chinese,GVaaRfCXGBZeypTL8GNJlw,"Panda Express",Tempe
"Southeast Asian",GVbH-lCr1b122ouFueNihw,"Nanay Gloria's Filipino Fastfood and Asian Market","Las Vegas"
"Comfort Food",GvFmUk5Hpz-LeMu-Xv8jUQ,Mcdonalds,Scottsdale
"Japanese and Korean",GvG0AuOhjbME0nUXMwVCjA,GOGI,Chandler
"Comfort Food",gVgGctGc-Bca7mvXu88Wiw,"Chicken Salad Chick",Charlotte
French,GVkj5jIasovqFrx442-NcA,"Bistro L'Aromate",Montréal
"Southeast Asian",GVl-DIU03a_rMCpgcm3J3w,Mithas,Edinburgh
Italian,Gvl0nWLdAxSgVYaU9mlA6g,"Antonio's Bistro",Tempe
Italian,gVMLojQpwFFfVUP6Hk1FmA,"La Cucina Di Venti",Mesa
"Comfort Food",gvSB2TlcxAOs_ppZ44iirg,"Naked Pizza",Phoenix
"Comfort Food",gVSokyUWqy14UEp_JNVL7Q,"Taco Bell",Champaign
"American and British",gvtwlFW29b92qcYUAH_v2w,"Gordon Biersch Brewery Restaurant","Las Vegas"
"Comfort Food",GvUgjHP0aooaD1dltpK_5w,"Carl's Jr",Maricopa
"American and British",GVUtuBmDdvXxXtjrvHHJnQ,"The Flight Line Bar and Grill",Phoenix
"American and British",Gvw2ewUbqq7PWkxKwjqifA,"The Barrymore","Las Vegas"
"Comfort Food",GvwDppcJLm9lso9iS2hSIw,"Pat's Pizza Plus",Phoenix
Italian,GvwDppcJLm9lso9iS2hSIw,"Pat's Pizza Plus",Phoenix
French,gVYju3XRcO1R4aNk7SZJcA,"Guy Savoy","Las Vegas"
"Comfort Food",GVYP0ZIYLGt-8Rh5L19XIQ,Mullen's,Pittsburgh
"Comfort Food",Gw-7dTIAlATVMHzFyaPLhw,"Jersey Mike's Subs","North Las Vegas"
"Comfort Food",gw-V13MyfzFaCTbALfnn2Q,"El Mesquite Restaurant",Phoenix
"American and British",gw-zDohfYJ3_RDlDd3faRw,"Peoria Cafe",Peoria
"American and British",GW035CmvS6GPr4cc9HZY7Q,"Tropical Smoothie Cafe",Mesa
"American and British",gW0k1iIF1xuuFclzI_HbBA,"Bonfyre American Grille",Madison
"Comfort Food",gw1G9caRnvpTA7N079eFCA,"Slices Pizza",Scottsdale
"Comfort Food",Gw5POFxBRoJxN_ZYhk6lgQ,"Bruegger's Bagels",Charlotte
"Japanese and Korean",gW7Bauwa5EpAdFhjAbRFbQ,"Magal BBQ","Las Vegas"
"Comfort Food",gwAIppG7JZRmqnV7ywmJxQ,"Taco Bell","Las Vegas"
French,gWdqftLZpMCT-Mqo5Q5tcg,"Patou French Bistro",Charlotte
"Comfort Food",GwGDLjbNf6d71QNOmY1OBQ,"Pizza Hut","Las Vegas"
"Southeast Asian",Gwgtq4fv5ueU8DCGBg7NZg,"Ben Thanh Restaurant",Matthews
"Comfort Food",gWj7jkcHffr6PapiKgLXrw,"Pedrito's Taqueria 2",Mesa
"Comfort Food",gWl7qOv5kCo1LcxZgCYQog,"Antonio's Pizza",Charlotte
Italian,gWl7qOv5kCo1LcxZgCYQog,"Antonio's Pizza",Charlotte
"Comfort Food",gWQlTK3o29rZGlw2YLUnhA,"Tea Infusion",Tempe
"American and British",gwqXoAeUcMF0Uk4EKOZE1A,"The Grille Inside The Golden Nugget","Las Vegas"
"Japanese and Korean",gWR3yYh0i7oZWgZL9ARIHA,"Kuu Bistro",Montréal
"American and British",gwrFXlSudWuA-zxZeE5svA,Seaboat,Champaign
"American and British",gWRJ_Zyl2gtx_pCNTKnG2A,"Our Families Country Cafe","Las Vegas"
"Comfort Food",GWS1sRPSBCFT395QYi6Q9g,"Steak 'n Hoagie Shop",Matthews
"Comfort Food",gWuraq3uYYKYRP2ecR5jmg,"Taco Bell",Phoenix
"Comfort Food",GwxispSgRjzqvRGufxrfzQ,Quiznos,Madison
"Comfort Food",GWXU5xROhcnMIUaUFEtubA,McDonald's,"Las Vegas"
"Southeast Asian",GWy44IkifrxF-o4TeJf48Q,"The Original Vientiane Palace",Madison
"American and British",Gwz2qprfIx2S9jytTk7VsQ,Applebee's,Chandler
"Southeast Asian",gWZMV5q8CSp8K5tZcMokCA,"Lilly's Thai & Vietnamese Restaurant","Las Vegas"
Chinese,gX-yJJB72zfuzJC_27IwPg,"Dragon Buffet",Charlotte
"Comfort Food",gx2F0-cj5AURNXS6fN8QLQ,"Big Boys Pizza",Mesa
"Comfort Food",Gx3o4ZIEF9m8vD6XWDpRmA,McDonald's,Glendale
"Comfort Food",GXaNshYhaCehi-y1brddMA,"Cardinal Pizza",Phoenix
"American and British",GXEnB2g6PLukTi5Pw5xiBQ,"Mr. Bigg's",Scottsdale
"American and British",gXFvsM4pwXeDl1sj6f3c6Q,"Mustang Sally's Diner",Henderson
"Comfort Food",gxjeuQkQp_-QIDKxazivVw,"Grullo's Fine Mexican Food",Mesa
"Comfort Food",gXjK4iMfCRF3FhmPUsmfwQ,Subway,Goodyear
"American and British",gXkv-2CPQFs1iggbftTl_g,"Wet Willie's",Charlotte
Spanish,gXMCRQToSoCnN95KSID54Q,"Casa Minhota",Montreal
"Comfort Food",gxPc11FH1TBn19altJ7Fuw,"Café Tranquilo",Phoenix
French,gxQBcIpzjGPCh9Gbncu0qA,"Voodoo Daddy's Magic Kitchen",Phoenix
"American and British",GXqBm5N0yZ3-rCd6hgUM7w,"Dandelion Market",Charlotte
Spanish,GXqBm5N0yZ3-rCd6hgUM7w,"Dandelion Market",Charlotte
"Japanese and Korean",gXrOoqHL_VDpOzli_DG1VA,Sapporo,"Las Vegas"
"Comfort Food",GxVY8lJHRNNWRHGw_JMLDw,"Jimmy John's",Mesa
"Comfort Food",gXYTS7Yy5g4_4f2XHLZbbQ,"Tia Rosa Taqueria",Gilbert
Chinese,gXY_sX8il0ad7YhK9CClrQ,"Hibachi Grill",Matthews
"Japanese and Korean",gXY_sX8il0ad7YhK9CClrQ,"Hibachi Grill",Matthews
"American and British",gxzQREksFyznP8C4SD8bgg,"Cracker Barrel Old Country Store","Fort Mill"
"Japanese and Korean",gxZXmgS24b_vEoQRbRKh3g,"Teriyaki Madness",Mesa
"American and British",gy3WtUaSqZNzxLcMgAbJHg,"Grand Café","Las Vegas"
"American and British",GY56AE5HGV2dWcRNGXumbQ,"Cocomo Joe's","Cave Creek"
"Comfort Food",GY56AE5HGV2dWcRNGXumbQ,"Cocomo Joe's","Cave Creek"
"Comfort Food",gY5LOv3CYQFrSRqNlaBPQg,"Firehouse Subs",Mesa
"American and British",gy5S23dmrPbOKr83qF5goA,"Coconut's Fish Cafe",Scottsdale
"American and British",gY6AhCy22G9yFlAGu9vMFQ,"Floyd's Kitchen",Phoenix
"Comfort Food",Gy6hVorUNFCqNr-eYh5ZVA,Arby's,Scottsdale
"Comfort Food",gY7617TMFGmPQR2A70L2vA,"DP Dough",Champaign
"Comfort Food",Gy7ERh2GhmAYMZMO48ztBg,"La Hacienda",Scottsdale
"Comfort Food",GY9pfuQlO0BhRUxvY9whmA,Joey's,Karlsruhe
"American and British",GYb6yFYJjDBNYcHM7vX5vg,"Cajun Yard Dog, Arboretum",Charlotte
French,GYb6yFYJjDBNYcHM7vX5vg,"Cajun Yard Dog, Arboretum",Charlotte
"Comfort Food",GyeiwqZ4kTebKywKyt7YhQ,"Los Burritos","North Las Vegas"
"Comfort Food",gYeNI6qp7GcgUa7poIY-Ag,"Roberto's Taco Shop","Las Vegas"
"Comfort Food",GYFQk4T2itW5O8lFocAzOA,"Les Folies de Montréal",Montréal
"Japanese and Korean",GyIBNQinrYtqi3189EbO0w,"Teriyaki Madness","Las Vegas"
French,GYM-DOzbIIvJ9gwFK4c_ew,"Lapin Blanc",Montréal
"Comfort Food",GySv0bydiTOkP5yj1YQImA,"The Best Ever Subs and More",Phoenix
"Comfort Food",GYvSBwe6ApBrncoUWo2D1Q,"La Belle Province",Laval
Italian,GYyf9Fprhvsu4aA34YSCsQ,"Up Modern Kitchen",Pittsburgh
"Comfort Food",gZ0TVxwxUPadDOjd-_1axw,KFC,Henderson
"American and British",Gz2bNUss7Y_dyy_lRtVGEw,"Catawba Fountain & Grill",Belmont
"Comfort Food",GZ9Bzur_XJGGu_oD5BOkOw,"Ramiros Mexican Food",Peoria
Chinese,Gz9jnM72ouoKcfGtwzrR6g,"The Wok",Charlotte
French,GZFfHlX-hLlVR1KFQK1_Ag,"Jacques Meyer's Culinarium",Ettlingen
"Comfort Food",gZHt02ICJ0v4M98t8nQAuQ,Subway,Glendale
"Comfort Food",gZqibHT8CGVP_tKsNbwl1A,"Un Autre Restaurant",Montréal
Italian,gZqibHT8CGVP_tKsNbwl1A,"Un Autre Restaurant",Montréal
Chinese,GztbyNjdkWof8syAomhHPw,"Chinese Dim Sum",Mesa
"American and British",GZtEs_bIcMe8sxJFwZn1XQ,Snaps,"Las Vegas"
"Comfort Food",gZXcfapZG1jAcsjMR3lkgw,"Peter Piper Pizza",Peoria
"American and British",GzxTmQiiTRpdyPxqDOG_wg,"The Station","New River"
"American and British",G_bvx3BjuoWr9A_zfdZ6IQ,PT's,"Las Vegas"
Chinese,g_kOqG2Zl8ygx46XKtWilw,"House of Egg Roll",Chandler
"Comfort Food",g_lUHSEuEpprMVx6ZXo78Q,"Kaleidoscope Juice",Scottsdale
"Comfort Food",g_pdHHdZ8LYL1eU8mfqRtg,"La Flor De Michoacan",Tolleson
"Comfort Food",g_qX41w9wXNd0ZtO97f7Nw,"New York Bagel Bakery","Las Vegas"
"Comfort Food",g_QywoAtFtZPMdgqfUIC4A,Adamo,Montréal
"American and British",g_RCTQuhSMJwFfDHKRVOqQ,"Kilo Restaurant",Montréal
Spanish,G_t-j_iRy3_6hYZiVoEwqA,"L'amère À Boire",Montréal
"Comfort Food",H-02hZPbb7R6jfX2NgFH7Q,"Garcia's Mexican Restaurant",Phoenix
"Comfort Food",h-5TtlOf0Jm3Xnv1_ySq_A,"Fox's Pizza Den Charlotte",Charlotte
Indian,H-99nG_KfynWPXh84TKj8A,"Copper Kettle-Salads Balti & Taandoori Grill",Mesa
"Southeast Asian",H-99nG_KfynWPXh84TKj8A,"Copper Kettle-Salads Balti & Taandoori Grill",Mesa
"American and British",h-9z4dgdEghdPLeDMLpDYA,"Tailgate Sports Bar & Grill",Tempe
"Comfort Food",H-aFeDAbu-dDojoskjIswA,"Pizza Pinoli",Montréal
"Comfort Food",h-HXnjsf6ZMVj7g4X74Qfw,"Taco Bell",Henderson
Italian,h-L8_QFAaGaXRxY1HsuRGA,"Ristorante Da Rocco",Rheinstetten
"Comfort Food",h-LEs0XY2zyp3AjY1eKNyQ,"Luna Pizza",Glendale
Italian,h-LEs0XY2zyp3AjY1eKNyQ,"Luna Pizza",Glendale
"Southeast Asian",H-nlydkvuHBlsk4aJzCAYQ,"Dang Dee Thai Cuisine","Las Vegas"
Chinese,H-n_ldCI3Q16rLVJsAxRMg,"Vid Noodles","Las Vegas"
Chinese,H-pLahyneioCeCFHk2lD7g,"Rice Inc - Chinese Cuisine",Charlotte
"Comfort Food",H-pWqJyQ_b5RxYty6w6bdg,Wendy's,"New River"
"American and British",H-REhqq4cNnhMGA0Gp-L8g,Denny's,"North Las Vegas"
"Comfort Food",h0AZ9oNnaKa5tS0R2qWRgQ,Grazie,Scottsdale
"Comfort Food",h0Bgl8mTLQCWakpjCRH1fA,"Carl's Jr And Green Burrito","Las Vegas"
"American and British",h0BHOYLztdLqWNI-h4hwOw,Fatburger,"Las Vegas"
"Comfort Food",h0BHOYLztdLqWNI-h4hwOw,Fatburger,"Las Vegas"
"Comfort Food",H0D2HYqLd9MRCq68rtbTyQ,"Olive Garden Italian Restaurant",Champaign
Italian,H0D2HYqLd9MRCq68rtbTyQ,"Olive Garden Italian Restaurant",Champaign
Chinese,h0i4gaAXH3GsU4n6yqzL9w,"Chopsticks Express",Karlsruhe
"Southeast Asian",h0i4gaAXH3GsU4n6yqzL9w,"Chopsticks Express",Karlsruhe
"Japanese and Korean",H0MkhKq4X6p5Qm38n6B35A,"Resto DaMoa",Montréal
"American and British",H0QkByri08NTgd8KEdyCsw,"Extreme Pita",Tempe
"Comfort Food",H0RCiqDIYsx6JPHrsHiFlQ,"Panera Bread","Las Vegas"
"American and British",H0UWIZCL3f_blpL7rQdgPg,"5 Dollar Cafe","Las Vegas"
Chinese,H0UWIZCL3f_blpL7rQdgPg,"5 Dollar Cafe","Las Vegas"
"Southeast Asian",H0UWIZCL3f_blpL7rQdgPg,"5 Dollar Cafe","Las Vegas"
"Comfort Food",h0XActe0Oyp6BT_2n7Us4A,"Gator's Deli","Indian Trail"
"American and British",h16e3XoDeeNdWjOT7JtRnw,"Sierra Gold","Las Vegas"
"Japanese and Korean",H18C9tH4BPHkxan96bkMXQ,"Hokkaido Seafood Buffet",Pittsburgh
"Comfort Food",h1fwrE1am09t6INjeLs6BA,"El Pollo Loco",Henderson
"Comfort Food",h1jAo_BSx5SaBoYNpWfzSw,"Dominos Pizza",Chandler
"Southeast Asian",h1Jlj5LFMgu3MvP6ZWn4XQ,"Mai Thai",Edinburgh
"Japanese and Korean",h1KBP0b_rst9Cj7EZoVIHg,"Restaurant Japonais Bishoku",Montréal
"Japanese and Korean",h1kMWbt6gjkIy4VC8VqVuQ,"Good Fella Korean Bistro",Champaign
"American and British",h1kwVr1eTpBK0rWfcm5QSg,"Buffalo Wild Wings",Phoenix
"American and British",H1TpKMkMwPaHML5TY9OKlQ,"Mary's Place",Tempe
"Comfort Food",h1zj4BgEIEpFMYlWGt5utw,Subway,"Las Vegas"
"Comfort Food",h26RO7jLyJ6YPHegwpQUPQ,"Macayo's Mexican Kitchen",Glendale
"American and British",h27XSUr66bI87J01FsYDpw,"The Yard Gastropub",Pittsburgh
"Comfort Food",h27XSUr66bI87J01FsYDpw,"The Yard Gastropub",Pittsburgh
"Comfort Food",H2AhZbhQ9CJ66MjzpSh-1g,"Famoso Neapolitan Pizzeria",Waterloo
Italian,H2AhZbhQ9CJ66MjzpSh-1g,"Famoso Neapolitan Pizzeria",Waterloo
"Japanese and Korean",H2cAZyhfADarH8Y2VCEwVw,"Fresh Cup","Las Vegas"
"Japanese and Korean",H2CMlF2Ly6XYYcv1tvfMIw,"Soba Sushi",Montréal
"Comfort Food",H2DbpsEvor9kTf1-8OEwAA,"Arby's Roast Beef Sandwich Restaurants","Las Vegas"
"Comfort Food",H2dh7hty8SLRJRUCD1ilRQ,Vittoria,Edinburgh
Italian,H2dh7hty8SLRJRUCD1ilRQ,Vittoria,Edinburgh
"Japanese and Korean",H2dKOR0fzYiv7ebVk3ELzw,"The Teriyaki Company","Las Vegas"
Chinese,H2eCY4wIIudy5C0BW5Y3ZQ,"Bangkok Orchid",Henderson
"Southeast Asian",H2eCY4wIIudy5C0BW5Y3ZQ,"Bangkok Orchid",Henderson
"Southeast Asian",H2eMJjI7ldnPr1AhLgMxXA,"Billu's Indian Grill",Pittsburgh
"Comfort Food",h2eQKDx5DJbD95mpZ5GyoQ,Arby's,"North Las Vegas"
"Comfort Food",h2ewvzx8enIwYhNbtIpcZw,"Gateway Cafe",Phoenix
"American and British",h2fqHWVr6jmjqpwr3gELzg,"Kasper's Grill",Charlotte
French,h2fqHWVr6jmjqpwr3gELzg,"Kasper's Grill",Charlotte
"Comfort Food",h2f_-reAFVtDvPTTUCqmog,"Round Table Pizza","Las Vegas"
"Comfort Food",h2intC6yZX5pwccleuOriQ,"Streets of New York",Mesa
Italian,h2intC6yZX5pwccleuOriQ,"Streets of New York",Mesa
"Comfort Food",h2IzpWxS1VR96D_vP_NOdA,"Old Chicago",Madison
"American and British",H2pm7yVZci7M5RKhAOYzuA,"Claim Jumper","Las Vegas"
"Comfort Food",H2tGlQpFItqduWJc4VheUQ,"Bowl of Greens",Scottsdale
Halal,H2tGlQpFItqduWJc4VheUQ,"Bowl of Greens",Scottsdale
Chinese,h38B6D2yfytGJGR1UEqT8Q,"China Buffet King",Pittsburgh
"Japanese and Korean",h3B-MtYvzP3eY4fTMZR0Zw,"Deejai Thai Restaurant",Charlotte
"Southeast Asian",h3B-MtYvzP3eY4fTMZR0Zw,"Deejai Thai Restaurant",Charlotte
"American and British",h3c8XBQTer_3_OirrvUflg,5Church,Charlotte
"Comfort Food",H3cgKCdZzPwd8LYPSlM-6A,"Don Taco",Avondale
"Comfort Food",h3dNZGy3_XWJ1Ew66s3JNA,"Sunflour Baking Company",Charlotte
"Comfort Food",H3IBlFr4WTmMupkUcX7cDA,"Sonic Drive-In",Phoenix
"American and British",h3la53L9-OX_HlfeAySh0Q,Applebee's,Pittsburgh
"Comfort Food",h3la53L9-OX_HlfeAySh0Q,Applebee's,Pittsburgh
"Comfort Food",H3mGN-sqRLpXrHlhbc_8zA,"Mini Italia",Karlsruhe
Italian,H3mGN-sqRLpXrHlhbc_8zA,"Mini Italia",Karlsruhe
Italian,H3oNY9CnCwqHTU5QMHEdew,"Baci Italian Bistro",Mesa
"Comfort Food",h3oTapYP5Q1G_u1t9xN64g,"Trattoria Toscana",Karlsruhe
Italian,h3oTapYP5Q1G_u1t9xN64g,"Trattoria Toscana",Karlsruhe
"American and British",H3SaoIWnlG-HvGQ8v6J6yg,"Pot Liquor","Las Vegas"
"Comfort Food",h3T8DTVDtPzy9ICw3UixdQ,"El Torito Mexican Restaurant & Cantina","Paradise Valley"
"Comfort Food",H3TmYkiUo-ZY1va4TZM_zw,"Rubio's Fresh Mexican Grill",Chandler
Spanish,h3W1GyNsuhbn1_gGjvk7VA,"Bistro Piquillo",Verdun
Halal,H469FEznfNRhUw9Uk7_d9w,"Honi Rose",Montréal
Italian,H4AaS2TRnBo98icZuCQXTg,"Barcola Bistro",Montréal
Italian,H4dVXq2agIkeiP6_lidkOQ,Pallucci,Edinburgh
"American and British",h4GmXUxM07MTOlMiGa0KuA,"The Maple Tree","Las Vegas"
"Japanese and Korean",h4jpghnw76KEyFuAMK48Zg,"Y2 Cafe",Charlotte
"American and British",H4N1vgxdPKozOqpW-5qI2w,"Johnny Fox's Public House",Peoria
"American and British",h4tn7nh3ZybB2WmWD20-Hg,"Five Star Tavern","Las Vegas"
"American and British",H4tNhl1-NF93JsVJHp7Dkw,"Catfish Alley","Las Vegas"
"American and British",H52LFxw13LBS6_ewxCwlfg,"Blondies Sports Bar & Grill","Las Vegas"
"Comfort Food",h53YuCiIDfEFSJCQpk8v1g,"Jason's Deli",Gilbert
"American and British",h5cvE8TClzDrrlg88gD97Q,"McCormick & Schmick's Seafood & Steaks",Pittsburgh
"Comfort Food",H5f7zLtinbyFLIKFGs5p9g,"Pizza Hut","Las Vegas"
"Comfort Food",h5RdnJkt44T4M6FsPS30Bw,"Burger King",Concord
"American and British",H5tAXc4Zk9CRfwgRXCIukQ,"Chicago Gyros",Glendale
